date,PM25
4/26/11,75.29166667
4/27/11,43.70833333
4/28/11,-366.5
4/29/11,-172.7916667
4/30/11,163.2916667
5/1/11,62.75
5/2/11,23.16666667
5/3/11,22.625
5/4/11,67.5
5/5/11,109.2916667
5/6/11,50.41666667
5/7/11,-9.166666667
5/8/11,60.79166667
5/9/11,49.79166667
5/10/11,35.66666667
5/11/11,103.3333333
5/12/11,41.54166667
5/13/11,32.45833333
5/14/11,30.79166667
5/15/11,40.04166667
5/16/11,51.875
5/17/11,155.1666667
5/18/11,173.4583333
5/19/11,13.58333333
5/20/11,33
5/21/11,42.375
5/22/11,66.58333333
5/23/11,102.8333333
5/24/11,70.25
5/25/11,17.54166667
5/26/11,-538.7083333
5/27/11,-582.75
5/28/11,141.0833333
5/29/11,107.6666667
5/30/11,54.25
5/31/11,-29.66666667
6/1/11,-24.41666667
6/2/11,79.45833333
6/3/11,29.45833333
6/4/11,-176.5
6/5/11,86.79166667
6/6/11,-37.875
6/7/11,136.25
6/8/11,26.625
6/9/11,132.2083333
6/10/11,114.7916667
6/11/11,64.29166667
6/12/11,23.33333333
6/13/11,90.125
6/14/11,150.5416667
6/15/11,151.375
6/16/11,114.0833333
6/17/11,102.0416667
6/18/11,185.5
6/19/11,196.4166667
6/20/11,179.1666667
6/21/11,145
6/22/11,249.6666667
6/23/11,135.7916667
6/24/11,27.04166667
6/25/11,35.41666667
6/26/11,50.91666667
6/27/11,59.95833333
6/28/11,143
6/29/11,235.6666667
6/30/11,142.2916667
7/1/11,136.5
7/2/11,161.7083333
7/3/11,105.0833333
7/4/11,64.29166667
7/5/11,125.5
7/6/11,167.7916667
7/7/11,26.91666667
7/8/11,23.08333333
7/9/11,23
7/10/11,87
7/11/11,191.7916667
7/12/11,111.2916667
7/13/11,93.70833333
7/14/11,103.1666667
7/15/11,75.41666667
7/16/11,74.75
7/17/11,105
7/18/11,105.9583333
7/19/11,97.83333333
7/20/11,44.375
7/21/11,90.16666667
7/22/11,174.7083333
7/23/11,292.4166667
7/24/11,226.75
7/25/11,51.66666667
7/26/11,47.95833333
7/27/11,67.45833333
7/28/11,210
7/29/11,130.625
7/30/11,41.79166667
7/31/11,-113.125
8/1/11,-999
8/2/11,-999
8/3/11,-423.7916667
8/4/11,59.79166667
8/5/11,150.3333333
8/6/11,-906.7083333
8/7/11,-999
8/8/11,-174.375
8/9/11,76.16666667
8/10/11,-821.8333333
8/11/11,9.583333333
8/12/11,133.3333333
8/13/11,121.125
8/14/11,105.875
8/15/11,112.625
8/16/11,16.875
8/17/11,50
